var_i,var_j,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AET,AI,0.6385820124906217,0.6407847766614458,0.5272886499679998,0.5709072366230306,0.6243934639252443,0.6564600391581998,0.5709854098309605,0.5814960468575596,0.524311792341832,0.7162633513793563,0.551938245034017,0.716883532248115,0.5652120893089474,0.6254528591718908,0.6449893771316094,0.5947609223550349,0.4703666059765709,0.6805527170015856,0.5927568523680048,0.6185802002280886,0.6287162845825347,0.6852502077022538,0.6249578954383155,0.7109391006909727
AET,FS,0.2656677484915939,0.1695781250980046,,,0.1851067497646029,0.2498135322635473,0.2018300594181005,,,0.2836920914700646,,0.2672563778320722,0.2036697801777204,0.2487846787231632,0.1966677822470002,0.1768648033491023,,0.1873693689312298,0.2026677512157185,0.1950118928370807,0.2618723193730737,0.3020889821630171,0.1938171135006743,0.2935245345309834
AET,FVC,0.3641696499166617,0.3036871297691597,0.2732724796507185,0.2664115909973277,0.3055021601677403,0.3418349462034931,0.2969116217073397,0.2289768826289293,0.2748233812146946,0.3980360952842729,0.2888095800064001,0.3649300691185042,0.3017561610344869,0.3441212428873519,0.3385792027001589,0.2944554241137633,0.2520522221134206,0.2997656810688879,0.3025787548988023,0.304526029519906,0.3564145433342083,0.3774212751765266,0.3050634712299986,0.3651906162552597
AET,GD,0.2197557666525961,,,,,,,,,,,,,,,,,,,,,,,
AET,GP,,,,,,,0.1945554803309926,,,,,,,,,,,,,,,,,
AET,NDMI,0.2665248226152561,0.2297384625023062,0.2056784194798697,0.2092105445400404,0.2454749800200223,0.2709722692597219,0.2381739149037174,,0.2072160435137842,0.2694217929413156,0.2176305937516437,0.283496937850276,0.2447716064903395,0.2848788737340471,0.2620796765676494,0.212398166560984,0.1905668755544572,0.2251779204718468,0.2458359868299155,0.2373852839613811,0.2713819265665859,0.303951825214109,0.2561277363504118,0.2871769412988731
AET,NIRv,0.3680358337464877,0.292119722879458,0.2758179697450451,0.2703864319082031,0.2989984043785328,0.343221095251869,0.3045099577190747,0.2386089617778076,0.2798194128716063,0.3695915369032436,0.2836012179469261,0.3533186727238334,0.3072098398594988,0.3486593486680078,0.3179211327254924,0.3092776357933174,0.2651637846124082,0.3009734865274559,0.3332232210484784,0.2973372865098226,0.3729033450934605,0.3898872156009286,0.2889954750550818,0.3739241954608187
AET,PET,0.3860748010005142,0.2951938500122021,0.2987110212488491,0.2804644410718092,0.3132848594800383,0.359976425120665,0.2828659829244587,0.2756244143398941,0.2796978946273739,0.4287474688494986,0.3247260955295658,0.4197480388666069,0.3353951275796852,0.4119799724509315,0.3782032397742946,0.3087523491123163,0.2793918713872065,0.3660204180484151,0.3336757967851152,0.3013991211407024,0.3607291303675351,0.428424661199951,0.3075154194948638,0.4055007544119047
AET,PRE,0.8370503323237672,0.7825634884792132,0.7695495092930105,0.7453979599854849,0.7623723101179005,0.8727865840847713,0.8900809909202129,0.8078502695568492,0.7928948099626251,0.8311369865344985,0.7729035353439172,0.7717243062350297,0.7563213700916976,0.7662521393459488,0.8550016884744049,0.7234984447896181,0.6903957615332809,0.7841726900278897,0.8168035747794429,0.823773969688042,0.7800888098100195,0.8034213579640852,0.8093323677931773,0.7673756372835423
AET,SM,0.3680439370187359,0.3604271328719896,0.3478400248759287,0.3736740060212818,0.3559068827086475,0.3527015773988287,0.3631008209202608,0.2891811500469753,0.3438407030673633,0.3813730105797916,0.3227591579542226,0.390712272284526,0.3663331847313062,0.3767820433589591,0.3925278210047352,0.3054541232342693,0.2999508563859926,0.3574885913803313,0.3409757077398462,0.3613711928475908,0.3850330976759942,0.4114764597576454,0.3691006523422105,0.4289582804246615
AET,SPEI6,,,,,,0.2684902272407227,,,,0.2715125386433646,,0.2619445928810588,,0.3306597865828021,,,,,,,,0.2671267902457317,,
AET,T,0.2445016475821274,0.1929103351713945,0.183848565351909,0.1811766185800294,0.1902094831780988,0.1958538962201681,0.198391450097553,,,0.2678701436724575,0.2097226277303018,0.2233130048538856,0.2030175689457663,0.2695930109447451,0.2461937350308039,0.1868617181691218,0.1934482548800083,0.220938707676549,0.1994699810726387,0.182288775901256,0.2251179462653718,0.2916035520662263,0.1736032637369693,0.2527168916594522
AET,WECS,0.2179585420465415,,,,,0.1975725136123936,,,,0.2177676782703831,,0.2351332102429871,,,0.2128020850405612,,,,,,0.1941041842584244,,,0.191405923437132
AET,WS2,0.2129461837949174,0.1767859170241243,,,,,,,,,,,,,0.2184085743143117,,,,,,,,,0.1876692989224085
AI,FS,0.3144509993197134,0.2129853566714759,0.2614505030464248,0.2347624892488616,0.2433721471248043,0.3035947863158145,0.2809242037493475,0.1929721385511083,0.2691608998104889,0.2938772610288931,0.268496469832809,0.2900966674625232,0.2818472085237809,0.3245060386272704,0.2435183541765067,0.2690298518973415,0.2808966559878044,0.2163806507455049,0.282893643747837,0.2442533867091132,0.3264276986421819,0.3376915810063437,0.2468800773281235,0.3152991120228085
AI,FVC,0.4002066316335124,0.3473881087702508,0.3585837871273332,0.3223986569275138,0.3607456396313622,0.390128634000112,0.3680559599592423,0.3010964583503924,0.3669678067927693,0.404340373989366,0.3765607555873377,0.3917320896585548,0.3696498182336373,0.411011674026964,0.3668568686633673,0.3767625066225513,0.3774203218353235,0.3355152135007473,0.3639659752934984,0.3539967307775735,0.3991782444591703,0.4000487402887978,0.3531283546944492,0.3728798351393029
AI,GD,0.2176921009678513,,,,,,,,,,,,,,,,,,,,,,,
AI,GP,,0.1779584912332401,0.1751760946087696,0.1902807240726004,0.1914820481888376,,0.2146249637399284,0.1819580977964251,0.2059077505890372,,0.2039378227575696,,0.2085742527475057,,,0.1957754059657555,0.200420092715167,,0.2014327075588389,0.1841798218126864,0.1834146052677078,,,
AI,NDMI,0.278018516206521,0.2604184542888599,0.2708338818873236,0.2500643449517964,0.2989308758079767,0.2999980448291803,0.2901395751261338,0.209224482073672,0.2787697215459616,0.2782405945862078,0.2806932176147741,0.3036647964737293,0.2944560209171914,0.3575643553478744,0.281862044096328,0.2694191267511873,0.2539637182571939,0.244893074751778,0.2844208839764401,0.2665598275201191,0.2992088609566934,0.319094737133467,0.2813131231589486,0.2851156135157611
AI,NIRv,0.3869919110892661,0.3221850575278299,0.3370484897530655,0.3023996154114733,0.3443620065995669,0.3816874053519156,0.3639950435907029,0.2990534727269365,0.3442502364491048,0.3652976156169905,0.3672275773919901,0.3749093138312711,0.3654342301985883,0.3868849173351042,0.3388683938242535,0.3790679331223566,0.3733897426808237,0.3259646233636072,0.3757560521255288,0.3178269440229107,0.3820128890291265,0.3884981264125113,0.3216140138629296,0.3683699919322699
AI,PET,0.4785530705473777,0.3716134164134093,0.4145272265031223,0.395872701123158,0.3839573962151961,0.456715367351959,0.3925346512115377,0.3833515020630194,0.4136832553597768,0.4972726839368365,0.4258567524108683,0.507172597079713,0.4516012283526045,0.5308656472273088,0.4510750644949196,0.4247367805538851,0.4030385990378656,0.4309293534630503,0.4587137110924179,0.3854272458405487,0.4553752727645777,0.5254433429565425,0.3976167688521699,0.4609306911230267
AI,PRE,0.6474819426027771,0.607024112179597,0.5335338496328741,0.5939326440536213,0.5841883912446088,0.6519089057743956,0.5732210165942495,0.5697507221854233,0.559585765734476,0.720620870297067,0.585200511801075,0.7204514498004506,0.5872588975947884,0.6878287763268206,0.6421277464877722,0.5584647901511778,0.5249390540963237,0.632003020920644,0.603769451583174,0.63317392876747,0.6743736164803922,0.6978891239572622,0.6135516655983767,0.6751067735877918
AI,SM,0.3936087730954864,0.3946059028442884,0.3768176148390485,0.4492117691326325,0.3949151798137439,0.3790358119911968,0.4179458051742307,0.3475664727094159,0.4023183783762621,0.3957731079229777,0.3873001625427865,0.3966684476210849,0.4329549842841064,0.4469651157646127,0.4319265428068501,0.3916823309292783,0.4068278429607428,0.3846105234839533,0.4108804460302963,0.4308083575887295,0.4469437177281614,0.4815108777799824,0.4451404003557043,0.4430747568263008
AI,SPEI6,,,0.1882301093727237,0.2080680192382267,,0.2596022687623769,,0.1722320083198805,0.2240115134785642,0.2723428325673305,,0.2856127925641439,,0.4145520871936563,,,,,,,,0.325143345734744,0.1865172210022257,0.1877812287394497
AI,T,0.2963634507545241,0.238331960821565,0.2541703468221191,0.237169543806669,0.2328031043893832,0.2477677712301539,0.267404746697222,0.2222920865189151,0.2587237319152097,0.3028153374083439,0.2508716213697682,0.2671428497632059,0.2639684963225145,0.3435237235639082,0.2762990160814964,0.2614065302165669,0.2626090290887671,0.256599854383533,0.266964205459499,0.2268370843044032,0.2697982333491376,0.3499460212509044,0.2300190678231616,0.2823494086003406
AI,WECS,0.2182037959398057,0.200816172017198,0.2032962792561573,0.1913871860623417,0.1986208127089676,0.2252734189732697,0.2320298219108009,0.1764032593964576,0.2150510046242952,0.2282287527429021,,0.2601954597878274,0.2145533293193973,0.2481357678052952,0.2186563485982902,0.2059576773642666,0.1985738879816453,0.2007159784659555,0.2338523023259355,0.2132812931342449,0.2426259287785811,0.2576781020754969,0.1821461813114894,0.1909899311121623
AI,WS2,,0.1968904166236563,0.1917550942345133,0.1951585624416184,0.188183896201761,,0.2146046559756434,0.1860926524618443,0.1925211842882026,,0.2297432132224213,,0.1932845563993017,,0.2061479975694114,0.198382457903566,0.1888148934081613,0.1896566810151569,0.2032566498858621,0.187522062561301,,0.21931388784458,0.1718984699262213,0.1885862730432103
CP,GP,0.3016646116754628,0.315164230370677,0.3200206294941015,0.3326723623572644,0.3350840656421958,0.3359140911598504,0.3359424411965256,0.3326554272589961,0.3323422462485609,0.3307963640291518,0.3272818850225082,0.3276339848834987,0.3305228182441129,0.3288804199449663,0.3272817812160803,0.3251455129388526,0.3345250298756779,0.3347530278595842,0.3293492311434061,0.3311321662034808,0.3303257121058984,0.3290738900613797,0.3307526305223674,0.3307526305223674
CP,GS,0.3237871761211695,0.3347079114779819,0.3379521643152684,0.3069500061286541,0.3468069554087872,0.3837871698905561,0.3857431587928535,0.3776513346117123,0.3970796962605857,0.3861804347361655,0.3924172710942858,0.3999040782862751,0.4014827882076455,0.4087042682179019,0.404523544312127,0.4141265675970202,0.4187085553664331,0.4193577346358402,0.4130639313247208,0.424139431168689,0.426615092812073,0.4269497051371427,0.4243274675880856,0.4240841641334517
FD,LD,1,1,1,1,1,1,0.9999930052350096,1,1,1,1,1,1,0.999993008308528,1,1,1,1,1,1,1,1,1,1
FS,FVC,0.3022594635583599,0.3552284905433388,0.3361051527821534,0.3243723246109706,0.344077821432308,0.371301509286049,0.3494193090658771,0.3269002339971699,0.3345142515587779,0.3731947530833664,0.3791950423520756,0.3583238765123703,0.3395408599738356,0.3688316547439622,0.3752925086955235,0.384879989431824,0.3465070431351926,0.3527449026045322,0.3209409343052835,0.3513286091161064,0.3535671490325504,0.375890048608487,0.3444111621667731,0.3611095206674386
FS,GP,0.2554986013672868,0.2515066121921536,0.2543510500556205,0.2537992629992794,0.2590957389993687,0.2601559590156366,0.2578246795925986,0.259992299044378,0.2556389622328489,0.2582081397650822,0.2576143334253152,0.2593190868412922,0.2592416606044171,0.2600734322978069,0.2628719949437585,0.2629326420161783,0.2694479362052416,0.2699891249102701,0.2661474058773564,0.2713682736577356,0.2698874074927729,0.2676776193157839,0.2734546713668729,0.2729481921604733
FS,NDMI,,0.183285011058657,0.2082799119058139,0.2241043739010587,0.2133322864381338,0.2363434523837032,0.2260336134780527,,0.2547990810578345,,0.227090252224751,0.260149520553991,0.2455789021147428,0.2626616832112026,0.247383925251247,0.2197733154615834,0.1721712580066231,0.2135265783229507,0.2404767036930038,0.242637630812835,0.2528472062204051,0.2849990677664061,0.2257034335922009,0.2577978842792031
FS,NIRv,0.278284005460053,0.3175532953829141,0.3086576235550922,0.294850553935134,0.3119147778032534,0.3471348638602619,0.317924686019187,0.2913428898009376,0.3186786001747632,0.3340159581247877,0.3322888883913065,0.3285745003246097,0.3178477458268046,0.3435153061172182,0.3552976652196175,0.3328708179555517,0.3120252433812201,0.3359185259723616,0.3197922017241078,0.3274627453834177,0.3408535641623934,0.3491012759123448,0.3469276014461176,0.3425796621417922
FS,PET,0.2629308250757926,0.2681542217488881,0.2654010510625013,0.2715977569118214,0.2829743994184047,0.3046626955578916,0.2593958990528501,0.278154910560393,0.2800753462273979,0.2964949368871359,0.304621956061227,0.3149619305078818,0.2926399451007939,0.287606229942365,0.3000243820502783,0.3005874576459913,0.2553123003071296,0.2470120598910219,0.2917426376727417,0.2544466956706914,0.2744666761150071,0.2706705268789639,0.2829798857517069,0.2589755575436468
FS,PRE,0.268782498298668,,,0.1749448479926342,,0.2446222843534486,0.2017567635167861,,0.1883471003652914,0.2694695701725021,,0.2572695576453625,0.2110889938156349,0.2947715886050669,0.19019214829822,,,,0.2042256597715997,0.192057778434346,0.2815302934448998,0.3144467104588832,0.1850960840133401,0.2752085033054591
FS,SM,0.2096133215161586,0.204261510431355,0.1901334059425643,0.1944478419376305,0.2105944218595817,0.2352467755955681,0.2340695467100106,0.1999722618418877,0.1983705876883393,0.2100617218955649,0.210130484752082,0.2421552728677059,0.230247550944363,0.2666379138663113,0.267543098635672,0.2481115109568677,0.2256930071790593,0.2392500484518185,0.2198482399680873,0.2295747293845199,0.238317888043542,0.2829046638545632,0.2768819438535209,0.2535272831458995
FVC,GD,0.2136909876540665,,,,,,,,,,,,,,,,,,,,,,,
FVC,GP,,0.1893328486335544,0.185570949744508,0.1786952586059228,0.1948988095257352,,,0.2204960485230188,0.1894080485336017,,0.2134194604795113,,0.1937822756269772,,0.1914818577850848,0.1935735200960765,0.2185178676260456,0.2106296910817507,0.1939836641136255,0.20662160270612,0.2093975424412776,,0.1972032646307085,0.1984643419642128
FVC,NDMI,0.3325059561364584,0.3540017686766358,0.3994723090249225,0.3835895409800512,0.3813194036240371,0.4046069866749943,0.3910665014309376,0.3244744775431495,0.4354016734755722,0.3686091929371094,0.3819346963458701,0.4266253887376338,0.4166835877464428,0.3947932151765921,0.4053918422545592,0.3693831462987039,0.3512700372153752,0.3769885958942965,0.4193594280014937,0.4057570847519662,0.4063377768927618,0.4223262953855044,0.3860492405561144,0.4056697046374238
FVC,NIRv,0.5031784624476566,0.512542274896347,0.5101539101093311,0.469081346708604,0.5047341194663179,0.5339672237457372,0.5040786017234034,0.491663149853757,0.4890205332447304,0.5089806404112682,0.5282016699842039,0.5078989737131316,0.4940339727928929,0.5016303540713096,0.5220430104129511,0.5111114722771125,0.5112136178507878,0.5054094973642154,0.4899862270955095,0.5035290468733418,0.4956341150394703,0.5115037292321767,0.4896824395130142,0.517220706112473
FVC,PET,0.3428072805957989,0.3359265419032076,0.3163481769549691,0.3166105488378353,0.3351864696612876,0.3622595837586008,0.3203933059536563,0.3098508978563127,0.3297581987154194,0.3541703289480123,0.3506808198133745,0.3713550891292109,0.3450952373704057,0.3509258322338468,0.3549962615498249,0.3567470318201404,0.3029177918711359,0.3204108376743484,0.3184358829424732,0.30573299657672,0.3183810294239381,0.3309701507062168,0.3229174695133643,0.3131510099455976
